Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4)
3.408330578975612e-08,0.08314471999918215,0.0,0.0,0.0,0.0,0.6699999999890037,0.3299999999791655,1.1598711024982545e-12,2.083442010063165e-11
3.7446888131707524e-08,0.08314471999909193,0.0,0.0,0.0,0.0,0.6699999999879185,0.32999999997699503,1.1599123080769376e-12,2.3004931573222598e-11
4.081047047365893e-08,0.0831447199990017,0.0,0.0,0.0,0.0,0.6699999999868332,0.32999999997482454,1.1599290826119934e-12,2.5175467476838766e-11
4.753763515756174e-08,0.08314471999882123,0.0,0.0,0.0,0.0,0.6699999999846626,0.32999999997048346,1.15993759480699e-12,2.951656432085417e-11
6.099196452536735e-08,0.08314471999846029,0.0,0.0,0.0,0.0,0.6699999999803216,0.3299999999618013,1.1599541082384364e-12,3.819875851954899e-11
8.790062326097859e-08,0.08314471999773841,0.0,0.0,0.0,0.0,0.6699999999716394,0.32999999994443685,1.159986894236844e-12,5.5563147156624944e-11
9.999999999999998e-08,0.08314471999629465,0.0,0.0,0.0,0.0,0.6699999999677354,0.32999999993662904,1.1600016227744528e-12,6.337097891678479e-11
1.4171794073220105e-07,0.08314471999629465,0.0,0.0,0.0,0.0,0.669999999954275,0.3299999999097081,1.1600524059075253e-12,9.029192448639027e-11
2.49352575674646e-07,0.08314471999340714,0.0,0.0,0.0,0.0,0.6699999999195461,0.3299999998402505,1.1601834214501806e-12,1.5974947913486824e-10
4.646218455595359e-07,0.08314471998763212,0.0,0.0,0.0,0.0,0.6699999998500884,0.3299999997013354,1.1604454520230826e-12,2.9866458835692685e-10
8.951603853293157e-07,0.08314471997608211,0.0,0.0,0.0,0.0,0.6699999997111731,0.3299999994235052,1.160969513151762e-12,5.764948064993893e-10
9.999999999999997e-07,0.08314471995298202,0.0,0.0,0.0,0.0,0.669999999677346,0.3299999993558513,1.1610971262727078e-12,6.441487102967939e-10
1.7562374648688751e-06,0.08314471995298202,0.0,0.0,0.0,0.0,0.6699999994333423,0.32999999886784476,1.1620176354082208e-12,1.1321552415773638e-09
3.4783916239479944e-06,0.08314471990678186,0.0,0.0,0.0,0.0,0.6699999988776808,0.3299999977565239,1.1641138799186633e-12,2.243476106903399e-09
6.922699942106232e-06,0.08314471981438158,0.0,0.0,0.0,0.0,0.6699999977663579,0.32999999553388215,1.168306368929627e-12,4.466117818218918e-09
9.999999999999997e-06,0.08314471962958102,0.0,0.0,0.0,0.0,0.669999996773452,0.329999993548074,1.1720521272714927e-12,6.451925915488515e-09
1.3811316578422708e-05,0.08314471962958102,0.0,0.0,0.0,0.0,0.669999995543712,0.3299999910885988,1.176691346911611e-12,8.911401163368603e-09
2.0699933214739185e-05,0.08314471944478044,0.0,0.0,0.0,0.0,0.6699999933210662,0.3299999866433155,1.1850763248886955e-12,1.335668443085671e-08
3.4477166487372136e-05,0.08314471907517933,0.0,0.0,0.0,0.0,0.6699999888757746,0.3299999777527493,1.201846280679729e-12,2.2247250654105567e-08
4.825439976000509e-05,0.0831447187055782,0.0,0.0,0.0,0.0,0.6699999844304834,0.3299999688621834,1.218616236446444e-12,3.113781656418537e-08
6.203163303263804e-05,0.0831447183359771,0.0,0.0,0.0,0.0,0.6699999799851921,0.32999995997161785,1.2353861921861574e-12,4.002838215965454e-08
8.958609957790395e-05,0.08314471759677496,0.0,0.0,0.0,0.0,0.6699999710946102,0.3299999421904874,1.2689261039614036e-12,5.780951260657203e-08
9.999999999999998e-05,0.08314471685757283,0.0,0.0,0.0,0.0,0.669999967734515,0.3299999354703096,1.2816021360386414e-12,6.45296903737114e-08
0.00011714056612316986,0.08314471685757283,0.0,0.0,0.0,0.0,0.6699999622040288,0.32999992440935805,1.3024660157931897e-12,7.559064188223062e-08
0.00017224949921370168,0.08314471537916879,0.0,0.0,0.0,0.0,0.669999944422868,0.3299998888471034,1.3695458388862709e-12,1.1115289652758912e-07
0.0002273584323042335,0.08314471390076493,0.0,0.0,0.0,0.0,0.6699999266417096,0.329999853284854,1.4366256612154837e-12,1.4671514596323964e-07
0.0003375762984852971,0.08314471094395791,0.0,0.0,0.0,0.0,0.6699998910794012,0.32999978216037135,1.5707853025529033e-12,2.1783962865972212e-07
0.00044779416466636074,0.0831447079871518,0.0,0.0,0.0,0.0,0.6699998555171038,0.3299997110359107,1.7049449385341592e-12,2.8896408929772607e-07
0.000668229897028488,0.0831447020735425,0.0,0.0,0.0,0.0,0.669999784392544,0.3299995687870594,1.973264187164246e-12,4.3121294054737586e-07
0.0008886656293906152,0.08314469615993708,0.0,0.0,0.0,0.0,0.6699997132680329,0.32999942653830544,2.24158339725918e-12,5.734616944921269e-07
0.0009999999999999998,0.08314469024633606,0.0,0.0,0.0,0.0,0.669999677345552,0.3299993546934793,2.37710201727843e-12,6.453065206128469e-07
