Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10),O2(S)(11),O(T)(6)
0.251795557141847,0.08305058545869785,0.0,0.0,0.0,0.0,0.6677738813337978,0.32882060925685896,2.0489507776188096e-10,8.08784263445708e-05,5.898403535125559e-07,5.461795480144656e-06,0.0021823586124904916,3.9810353641004535e-06,6.247418600100792e-08
0.2525104039840801,0.08305015645876505,0.0,0.0,0.0,0.0,0.6677635659951185,0.3288154444673414,2.0492561726160994e-10,8.088742569949345e-05,5.90015530313881e-07,5.4630776865422815e-06,0.0021926686351968036,3.980988703433296e-06,6.249256615468082e-08
0.2532252508263132,0.08304972736938765,0.0,0.0,0.0,0.0,0.6677532484225713,0.3288102787037722,2.0495559768312483e-10,8.089624541079125e-05,5.901874194168612e-07,5.4643362379220805e-06,0.0022029809967087453,3.980941655217922e-06,6.251053681541791e-08
0.2539400976685463,0.08304929819222201,0.0,0.0,0.0,0.0,0.6677429286595168,0.32880511198509826,2.049850296860037e-10,8.090488891561147e-05,5.903560812775478e-07,5.465571583395233e-06,0.002213295651661738,3.980894229095671e-06,6.252810525181924e-08
0.2546549445107794,0.08304886892898634,0.0,0.0,0.0,0.0,0.6677326067484666,0.3287999443299048,2.050139236874656e-10,8.091335958605366e-05,5.905215770862745e-07,5.466784158625834e-06,0.0022236125555786953,3.9808464228556914e-06,6.2545279898128e-08
0.2553697913530125,0.08304843958135909,0.0,0.0,0.0,0.0,0.6677222827311298,0.32879477575640864,2.0504228995805498e-10,8.092166072991384e-05,5.906839652018701e-07,5.467974397288065e-06,0.0022339316648218675,3.980798252463744e-06,6.25620671658433e-08
0.25608463819524563,0.08304801015098319,0.0,0.0,0.0,0.0,0.6677119566484337,0.32878960628250525,2.050701385364543e-10,8.092979559466993e-05,5.908433050608238e-07,5.469142719508454e-06,0.0022442529365707606,3.980749711454584e-06,6.257847554686834e-08
0.25679948503747874,0.0830475806394668,0.0,0.0,0.0,0.0,0.667701628540533,0.3287844359257205,2.0509747932851108e-10,8.093776736611157e-05,5.90999652691746e-07,5.47028954469008e-06,0.0022545763288118505,3.980700826589775e-06,6.2594510564829e-08
0.25751433187971184,0.08304715104838951,0.0,0.0,0.0,0.0,0.6676912984468216,0.32877926470329,2.051243219963823e-10,8.094557917261973e-05,5.91153065663277e-07,5.471415276382298e-06,0.0022649018003277448,3.980651578386743e-06,6.261018118755408e-08
0.25822917872194495,0.08304672137926943,0.0,0.0,0.0,0.0,0.6676809664058992,0.3287740926320571,2.0515067607132467e-10,8.095323407970013e-05,5.91303597610386e-07,5.472520318118209e-06,0.0022752293107304246,3.980601994403785e-06,6.262549264677017e-08
0.25894402556417806,0.08304629163370962,0.0,0.0,0.0,0.0,0.6676706324557328,0.3287689197286101,2.0517655088782952e-10,8.096073510130639e-05,5.914513042968315e-07,5.47360506183162e-06,0.0022855588202947445,3.980552079260814e-06,6.264045228192859e-08
0.25965887240641117,0.08304586181313028,0.0,0.0,0.0,0.0,0.667660296633524,0.32876374600919755,2.0520195563196231e-10,8.096808519341617e-05,5.915962377741443e-07,5.474669895817589e-06,0.0022958902900942274,3.980501842518809e-06,6.265506620526663e-08
0.2603737192486443,0.08304543191900579,0.0,0.0,0.0,0.0,0.6676499589757433,0.3287585714897618,2.052268992653625e-10,8.097528725578944e-05,5.917384513902089e-07,5.4757151948697646e-06,0.0023062236819682133,3.980451277774265e-06,6.266934211309261e-08
0.2610885660908774,0.08304500195277532,0.0,0.0,0.0,0.0,0.6676396195181674,0.3287533961859192,2.052513906393644e-10,8.09823441320562e-05,5.918779952129845e-07,5.476741334302984e-06,0.0023165589584802646,3.980400403095642e-06,6.268328512248473e-08
0.2618034129331105,0.08304457191584834,0.0,0.0,0.0,0.0,0.6676292782958992,0.3287482201130194,2.0527543838475632e-10,8.09892586140947e-05,5.920149210903779e-07,5.477748675079293e-06,0.002326896082898983,3.980349206272092e-06,6.269690312012293e-08
0.2625182597753436,0.08304414180957696,0.0,0.0,0.0,0.0,0.6676189353433364,0.3287430432860711,2.052990510201233e-10,8.099603343789921e-05,5.921492769743617e-07,5.478737578610677e-06,0.0023372350192304484,3.980297708422071e-06,6.271020084164635e-08
0.2632331066175767,0.08304371163538915,0.0,0.0,0.0,0.0,0.6676085906943094,0.32873786571985103,2.053222368830824e-10,8.100267129329772e-05,5.922811129010072e-07,5.479708395387035e-06,0.00234757573207378,3.980245915200045e-06,6.272318481326875e-08
0.2639479534598098,0.08304328139455008,0.0,0.0,0.0,0.0,0.6675982443819654,0.3287326874288335,2.0534500417880435e-10,8.100917481817384e-05,5.924104754665991e-07,5.480661472711095e-06,0.002357918186742833,3.980193834234359e-06,6.273586053071131e-08
0.2646628003020429,0.08304285108837332,0.0,0.0,0.0,0.0,0.667587896438796,0.32872750842721565,2.0536736090928872e-10,8.101554659984648e-05,5.925374125320992e-07,5.481597145587437e-06,0.002368262349236634,3.9801414628309445e-06,6.274823485759538e-08
0.26537764714427603,0.08304242071814093,0.0,0.0,0.0,0.0,0.6675775468966736,0.32872232872890916,2.0538931497917312e-10,8.102178917531387e-05,5.92661968893369e-07,5.482515749663782e-06,0.002378608186201885,3.980088814060175e-06,6.27603124138546e-08
0.26609249398650914,0.08304199028510852,0.0,0.0,0.0,0.0,0.6675671957868682,0.3287171483475805,2.0541087409352165e-10,8.10279050350874e-05,5.927841910393447e-07,5.483417607530014e-06,0.0023889556649156615,3.980035881111942e-06,6.277210023882283e-08
0.26680734082874225,0.08304155979050391,0.0,0.0,0.0,0.0,0.6675568431400539,0.32871196729660734,2.0543204587429195e-10,8.103389662124723e-05,5.929041218420398e-07,5.484303043927828e-06,0.002399304753277212,3.979982687470184e-06,6.278360199229928e-08
