Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7)
1.86135716997157e-08,0.08314471999959658,0.0,0.0,0.0,0.0,0.6699999999939946,0.32999999998914187,1.1532995109772082e-12,1.085822054306956e-11,5.486819811299129e-20
2.001529346749861e-08,0.08314471999955915,0.0,0.0,0.0,0.0,0.6699999999935423,0.3299999999882394,1.1554238789503262e-12,1.1760640981161323e-11,6.408796913344897e-20
2.1986834768917614e-08,0.08314471999950641,0.0,0.0,0.0,0.0,0.6699999999929062,0.32999999998696905,1.1573354666891807e-12,1.3030984333824065e-11,7.830150641480291e-20
2.3958376070336616e-08,0.08314471999945361,0.0,0.0,0.0,0.0,0.66999999999227,0.32999999998569796,1.1584609290501306e-12,1.4302113811855803e-11,9.397227505256411e-20
2.5929917371755618e-08,0.08314471999940075,0.0,0.0,0.0,0.0,0.6699999999916338,0.3299999999844263,1.15911922496688e-12,1.5573710456322825e-11,1.1110094460134605e-19
2.790145867317462e-08,0.0831447199993479,0.0,0.0,0.0,0.0,0.6699999999909977,0.3299999999831545,1.1594881364165888e-12,1.6845596485247957e-11,1.296878907431434e-19
2.987299997459362e-08,0.08314471999929503,0.0,0.0,0.0,0.0,0.6699999999903615,0.32999999998188245,1.1596878728030183e-12,1.811765168922744e-11,1.4973336969105943e-19
3.184454127601263e-08,0.08314471999924215,0.0,0.0,0.0,0.0,0.6699999999897254,0.3299999999806103,1.159793788338677e-12,1.938980071404875e-11,1.7123754467139113e-19
3.578762387885063e-08,0.08314471999913638,0.0,0.0,0.0,0.0,0.6699999999884532,0.3299999999780659,1.1599004144940634e-12,2.1934203968580416e-11,2.186223758083125e-19
3.973070648168864e-08,0.0831447199990306,0.0,0.0,0.0,0.0,0.669999999987181,0.3299999999755214,1.1599201801432684e-12,2.4478694083582337e-11,2.7184267214015906e-19
4.367378908452664e-08,0.08314471999892482,0.0,0.0,0.0,0.0,0.6699999999859088,0.3299999999729769,1.1599312506407281e-12,2.702319289369994e-11,3.308986627846875e-19
5.155995429020265e-08,0.08314471999871328,0.0,0.0,0.0,0.0,0.6699999999833642,0.3299999999678879,1.159942141917049e-12,3.211220176347264e-11,4.781895839497332e-19
6.733228470155468e-08,0.08314471999829015,0.0,0.0,0.0,0.0,0.6699999999782752,0.3299999999577099,1.1599618372995661e-12,4.229022158960263e-11,8.661470990657025e-19
9.887694552425871e-08,0.0831447199974439,0.0,0.0,0.0,0.0,0.6699999999680971,0.32999999993735385,1.1600003739837813e-12,6.264626209355838e-11,2.0155862951258094e-18
9.999999999999998e-08,0.0831447199957514,0.0,0.0,0.0,0.0,0.6699999999677347,0.3299999999366291,1.1600017426902287e-12,6.337097879356324e-11,2.0831081880334093e-18
1.619662671696668e-07,0.0831447199957514,0.0,0.0,0.0,0.0,0.6699999999477411,0.32999999989664175,1.1600772631847667e-12,1.0335834327575366e-10,5.808733031790287e-18
2.88144910460483e-07,0.0831447199923664,0.0,0.0,0.0,0.0,0.6699999999070289,0.3299999998152176,1.1602310211804089e-12,1.8478250561826819e-10,1.9373473281783995e-17
5.405021970421153e-07,0.08314471998559644,0.0,0.0,0.0,0.0,0.6699999998256045,0.3299999996523692,1.1605385360249514e-12,3.4763083011333366e-10,7.042772806132971e-17
9.999999999999997e-07,0.08314471997205647,0.0,0.0,0.0,0.0,0.6699999996773451,0.32999999935585106,1.1610984659145461e-12,6.441487080729505e-10,2.505940124098113e-16
1.0452167702053799e-06,0.08314471997205647,0.0,0.0,0.0,0.0,0.6699999996627557,0.3299999993266723,1.161153565679955e-12,6.733274781632088e-10,2.683232320615735e-16
1.5499313433686445e-06,0.0831447199585165,0.0,0.0,0.0,0.0,0.6699999994999067,0.3299999990009753,1.161768595332676e-12,9.990241250383264e-10,5.62122929427339e-16
2.054645916531909e-06,0.08314471994497652,0.0,0.0,0.0,0.0,0.6699999993370577,0.32999999867527835,1.1623836249829012e-12,1.3247207705042175e-09,9.519440190032582e-16
3.0640750628584386e-06,0.08314471991789649,0.0,0.0,0.0,0.0,0.6699999990113593,0.3299999980238841,1.1636136842758675e-12,1.976114057209883e-09,1.957401760971403e-15
4.073504209184968e-06,0.08314471989081648,0.0,0.0,0.0,0.0,0.6699999986856608,0.3299999973724895,1.1648437435553145e-12,2.627507336403643e-09,3.3171288915138625e-15
5.082933355511497e-06,0.08314471986373645,0.0,0.0,0.0,0.0,0.6699999983599619,0.3299999967210944,1.1660738028171898e-12,3.2789006059411417e-09,5.057234015476968e-15
7.101791648164555e-06,0.08314471980957626,0.0,0.0,0.0,0.0,0.6699999977085628,0.32999999541830327,1.168533921266977e-12,4.581687104792246e-09,9.707794014702507e-15
9.120649940817614e-06,0.08314471975541592,0.0,0.0,0.0,0.0,0.669999997057162,0.3299999941155106,1.1709940396006027e-12,5.884473540722269e-09,1.5915117928190956e-14
9.999999999999997e-06,0.08314471964709491,0.0,0.0,0.0,0.0,0.6699999967734324,0.32999999354805537,1.1720655883596549e-12,6.4519255890925465e-09,1.9109507492252386e-14
1.315836652612373e-05,0.08314471964709491,0.0,0.0,0.0,0.0,0.6699999957543562,0.3299999915099209,1.1759142757731905e-12,8.490046146407183e-09,3.30381082564984e-14
1.7196083111429847e-05,0.08314471953877339,0.0,0.0,0.0,0.0,0.6699999944515442,0.32999998890432525,1.180834511135098e-12,1.1095618317160014e-08,5.647889180422088e-14
2.1233799696735964e-05,0.08314471943045135,0.0,0.0,0.0,0.0,0.6699999931487262,0.3299999862987238,1.1857547454685788e-12,1.370118993767034e-08,8.629503382316513e-14
2.527151628204208e-05,0.0831447193221288,0.0,0.0,0.0,0.0,0.669999991845902,0.32999998369311656,1.1906749785499234e-12,1.6306760889469666e-08,1.225457254664256e-13
