Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5)
5.554292106722942e-07,0.08314471998519599,0.0,0.0,0.0,0.0,0.6699999998207882,0.3299999996427367,1.1605567256248235e-12,3.572633602066677e-10,7.401469999101896e-17,7.600471687015004e-19
9.999999999999997e-07,0.08314471997127715,0.0,0.0,0.0,0.0,0.669999999677345,0.3299999993558511,1.1610984659144954e-12,6.441487080384021e-10,2.510648332859732e-16,5.005355341250539e-18
1.074266125125546e-06,0.08314471997127715,0.0,0.0,0.0,0.0,0.6699999996533826,0.3299999993079265,1.1611889643302801e-12,6.92073276296647e-10,2.8064128695415458e-16,5.71453956006935e-18
1.5931030395787979e-06,0.0831447199573583,0.0,0.0,0.0,0.0,0.669999999485977,0.32999999897311627,1.1618212030334578e-12,1.0268831911274799e-09,5.859281805414576e-16,1.6058622370860078e-17
2.11193995403205e-06,0.08314471994343949,0.0,0.0,0.0,0.0,0.6699999993185715,0.3299999986383059,1.1624534417339524e-12,1.3616931044444586e-09,9.891383182909069e-16,3.352105038767303e-17
3.1496137829385537e-06,0.08314471991560177,0.0,0.0,0.0,0.0,0.6699999989837598,0.32999999796868507,1.1637179191268727e-12,2.0313129265274426e-09,2.0232201263377083e-15,9.046662571281491e-17
4.1872876118450574e-06,0.08314471988776402,0.0,0.0,0.0,0.0,0.6699999986489479,0.3299999972990638,1.1649823965052042e-12,2.700932740512679e-09,3.4115745687130203e-15,1.87771006535061e-16
5.224961440751561e-06,0.08314471985992626,0.0,0.0,0.0,0.0,0.6699999983141356,0.3299999966294422,1.1662468738645547e-12,3.370552544075188e-09,5.174741687978247e-15,3.3959329052652374e-16
7.300309098564569e-06,0.08314471980425062,0.0,0.0,0.0,0.0,0.6699999976445095,0.32999999529019775,1.1687758285032363e-12,4.709792107709587e-09,9.817535783538514e-15,8.848236847449362e-16
9.375656756377576e-06,0.08314471974857487,0.0,0.0,0.0,0.0,0.669999996974882,0.3299999939509516,1.1713047830161657e-12,6.04903160326392e-09,1.5913385523514967e-14,1.8157346327891782e-15
9.999999999999997e-06,0.083144719692899,0.0,0.0,0.0,0.0,0.6699999967734325,0.32999999354805537,1.1720655883658676e-12,6.4519255923826955e-09,1.8023633035247982e-14,2.190108422469623e-15
1.1451004414190584e-05,0.083144719692899,0.0,0.0,0.0,0.0,0.6699999963052529,0.32999999261170404,1.1738337373739036e-12,7.388271015148369e-09,2.3421735319482816e-14,3.2286824981010294e-15
1.3526352072003591e-05,0.08314471963722304,0.0,0.0,0.0,0.0,0.6699999956356221,0.3299999912724549,1.1763626915461156e-12,8.72751032729873e-09,3.230220061921151e-14,5.220382273820935e-15
1.7677047387629608e-05,0.08314471952587078,0.0,0.0,0.0,0.0,0.6699999942963556,0.32999998859395185,1.181420599221628e-12,1.1405988592910463e-08,5.40372591463169e-14,1.1283877338878392e-14
2.1827742703255623e-05,0.08314471941451813,0.0,0.0,0.0,0.0,0.6699999929570827,0.3299999859154426,1.186478505799716e-12,1.408446627142199e-08,8.081783577518161e-14,2.0736154938692024e-14
2.5978438018881637e-05,0.0831447193031651,0.0,0.0,0.0,0.0,0.6699999916178033,0.3299999832369273,1.1915364110245977e-12,1.6762943227381043e-08,1.1234700041277678e-13,3.430641595186637e-14
3.202792740791895e-05,0.08314471914087149,0.0,0.0,0.0,0.0,0.6699999896658403,0.32999997933307684,1.1989081233414507e-12,2.066672565012481e-08,1.6627680816002925e-13,6.278679219289659e-14
3.8077416796956264e-05,0.08314471897857723,0.0,0.0,0.0,0.0,0.6699999877138636,0.3299999754292136,1.2062798314882188e-12,2.4570505851918593e-08,2.290083150888357e-13,1.0327108846342826e-13
4.412690618599358e-05,0.08314471881628238,0.0,0.0,0.0,0.0,0.669999985761873,0.32999997152533805,1.2136515347015396e-12,2.8474283428514502e-08,2.998692312408041e-13,1.5750803224909734e-13
5.017639557503089e-05,0.08314471865398705,0.0,0.0,0.0,0.0,0.6699999838098689,0.32999996762145034,1.2210232322213033e-12,3.2378057977387184e-08,3.782523050293425e-13,2.2711449348302544e-13
5.6225884964068204e-05,0.08314471849169129,0.0,0.0,0.0,0.0,0.6699999818578511,0.3299999637175507,1.2283949232852885e-12,3.628182909489162e-08,4.636113277296418e-13,3.1358639812241777e-13
6.832486374214284e-05,0.08314471816709867,0.0,0.0,0.0,0.0,0.6699999779537743,0.32999995590971615,1.2431382830004169e-12,4.408935942300965e-08,6.533088226600475e-13,5.426354825434887e-13
8.042384252021746e-05,0.08314471784250495,0.0,0.0,0.0,0.0,0.6699999740496428,0.329999948101836,1.2578816077484708e-12,5.1896871183354714e-08,8.655911431332718e-13,8.546247226314901e-13
9.252282129829209e-05,0.08314471751791044,0.0,0.0,0.0,0.0,0.6699999701454564,0.3299999402939121,1.2726248914259727e-12,5.970436114375626e-08,1.0977679087086666e-12,1.2581658409243632e-12
9.999999999999998e-05,0.08314471719331554,0.0,0.0,0.0,0.0,0.6699999677326387,0.3299999354685876,1.2817362295056863e-12,6.4529383965456e-08,1.2502115183802257e-12,1.5567126709126028e-12
0.00010462180007636672,0.08314471719331554,0.0,0.0,0.0,0.0,0.6699999662412154,0.32999993248594595,1.2873681279328219e-12,6.751182607381898e-08,1.3476188233605547e-12,1.760928534386498e-12
