Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10),O2(S)(11)
2.0871931620870945e-06,0.0831447199441034,0.0,0.0,0.0,0.0,0.6699999993265565,0.3299999986542752,1.1624232863866865e-12,1.34572378681702e-09,1.0045984646352582e-15,3.612916182933805e-17,8.762965052243989e-20,6.412825474272883e-20
2.7707748672203076e-06,0.08314471992576493,0.0,0.0,0.0,0.0,0.6699999991059947,0.32999999821315334,1.1632562783780268e-12,1.786844924439918e-09,1.6976245845519135e-15,7.54830158504295e-17,2.2029210036265124e-19,1.6121195694846535e-19
4.1379382774867336e-06,0.08314471988908793,0.0,0.0,0.0,0.0,0.669999998664871,0.32999999733090923,1.1649222628016163e-12,2.669087190358527e-09,3.4739155917440364e-15,2.0374989578264264e-16,7.618592614530764e-19,5.57536158050691e-19
5.5051016877531596e-06,0.08314471985241093,0.0,0.0,0.0,0.0,0.6699999982237466,0.32999999644866446,1.166588248032453e-12,3.5513294396042002e-09,5.856171803901303e-15,4.2270666950581994e-16,1.8894413083790104e-18,1.3827117762366586e-18
6.872265098019586e-06,0.08314471981573386,0.0,0.0,0.0,0.0,0.6699999977826214,0.3299999955664191,1.1682542343523686e-12,4.4335716673291e-09,8.876999304319371e-15,7.638409269411426e-16,3.982743138425383e-18,2.9146104742779805e-18
9.606591918552438e-06,0.08314471974237952,0.0,0.0,0.0,0.0,0.669999996900369,0.32999999380192613,1.1715862117927578e-12,6.198056033632595e-09,1.680446859100598e-14,1.9835606359203886e-15,1.4352736984348797e-17,1.0503471453391169e-17
9.999999999999997e-06,0.08314471966902504,0.0,0.0,0.0,0.0,0.6699999967734327,0.3299999935480551,1.1720656089733005e-12,6.451925605112093e-09,1.814587258844399e-14,2.2292634069501695e-15,1.6840312649738605e-17,1.2323902930491334e-17
1.234091873908529e-05,0.08314471966902504,0.0,0.0,0.0,0.0,0.6699999960181139,0.32999999203743047,1.174918196860504e-12,7.962540261814481e-09,2.7172353213572578e-14,4.056522758263107e-15,3.682113553482334e-17,2.6946057912439445e-17
1.5075245559618142e-05,0.08314471959567035,0.0,0.0,0.0,0.0,0.669999995135856,0.3299999902729321,1.1782501913997808e-12,9.727024322828803e-09,3.989214653104069e-14,7.188183592177954e-15,7.799951921751758e-17,5.708078259660841e-17
1.7809572380150992e-05,0.08314471952231547,0.0,0.0,0.0,0.0,0.669999994253595,0.329999988508431,1.1815821972331927e-12,1.1491508188050714e-08,5.4876537546551437e-14,1.1581579801463832e-14,1.4600514061379597e-16,1.0684791986531246e-16
2.3278226021216696e-05,0.08314471937560526,0.0,0.0,0.0,0.0,0.6699999924890649,0.32999998497942046,1.188246249106032e-12,1.5020475232231083e-08,9.133629539037939e-14,2.485793556350708e-14,3.996692544838787e-16,2.9248158241341264e-16
2.87468796622824e-05,0.08314471922889434,0.0,0.0,0.0,0.0,0.6699999907245232,0.32999998145039905,1.1949103657532537e-12,1.8549441187198577e-08,1.359157848163089e-13,4.536405874522847e-14,8.849650511062256e-16,6.476252440321974e-16
