time[s],[H]_molefrac,[H]OOOOOOOOO[O]_molefrac,[H]OOOOOOOO[H]_molefrac,[H]OOOOOOO[O]_molefrac,[H]OOOOOO[H]_molefrac,[H]OOOOO[O]_molefrac,[H]OOOO[H]_molefrac,[H]OOO[O]_molefrac,[H]OO[H]_molefrac,[H]O[O]_molefrac,[H][H]_molefrac,[O]OOOOOOOOOO[O]_molefrac,[O]OOOOOOOO[O]_molefrac,[O]OOOOOO[O]_molefrac,[O]OOOO[O]_molefrac,[O]OO[O]_molefrac,[O][O]_molefrac
217529.3974064447,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
224121.19732785213,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
230712.99724925956,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
237304.79717066698,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
243896.5970920744,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
250488.39701348182,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
257080.19693488925,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
263671.99685629667,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
270263.7967777041,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
276855.5966991115,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
283447.39662051894,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
290039.19654192636,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
296630.9964633338,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
303222.7963847412,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
309814.5963061486,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
316406.39622755605,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
322998.19614896347,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
329589.9960703709,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
336181.7959917783,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
342773.59591318574,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
349365.39583459316,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
355957.1957560006,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
362548.995677408,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
369140.7955988154,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
375732.59552022285,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
382324.3954416303,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
388916.1953630377,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
395507.9952844451,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
402099.79520585254,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
408691.59512725996,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
415283.3950486674,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
421875.1949700745,1.2513289397091426e-15,-1.6328960163029855e-48,9.020025798291235e-29,-4.8123763254430306e-39,3.355970764195206e-40,7.977661002811584e-25,-1.1467339708898923e-26,-8.26701582704561e-23,-7.491539709838361e-15,-7.405705326201099e-13,0.6700000000001277,-5.550502411379319e-37,1.4795355050346675e-38,1.225700769118002e-28,4.486242035134817e-21,6.063878987027392e-15,0.33000000000061314
